AK|Alaska|64.0610000000|-152.2307000000|A|2|
AL|Alabama|32.7784000000|-86.9290000000|B|1|
AR|Arkansas|34.8938000000|-92.4429000000|C|5|
AZ|Arizona|34.2740000000|-111.6582000000|D|4|
CA|California|37.1992000000|-119.4505000000|E|6|
CO|Colorado|38.9979000000|-105.5495000000|F|8|
CT|Connecticut|41.6220000000|-72.7272000000|G|9|
DC|District of Columbia|38.9101000000|-77.0147000000|y|11|
DE|Delaware|38.9895000000|-75.5051000000|H|10|
FL|Florida|28.6282000000|-82.4426000000|I|12|
GA|Georgia|32.6440500000|-83.4418000000|J|13|
GU|Guam|13.4566190000|144.7778360000||66|
HI|Hawaii|20.2951000000|-156.3720000000|K|15|
IA|Iowa|42.0753000000|-93.4959000000|L|19|
ID|Idaho|44.3538000000|-114.6086000000|M|16|
IL|Illinois|40.0411000000|-89.1965000000|N|17|
IN|Indiana|39.8938000000|-86.2818000000|O|18|
KS|Kansas|38.4949000000|-98.3801000000|P|20|
KY|Kentucky|37.5360000000|-85.3021000000|Q|21|
LA|Louisiana|31.0689000000|-91.9952000000|R|22|
MA|Massachusetts|42.2596000000|-71.8083000000|S|25|
MD|Maryland|39.0550000000|-76.7909000000|T|24|
ME|Maine|45.3702000000|-69.2438000000|U|23|
MI|Michigan|44.3461000000|-85.4114000000|V|26|
MN|Minnesota|46.2810000000|-94.3046000000|W|27|
MO|Missouri|38.3568000000|-92.4571000000|X|29|
MS|Mississippi|32.7351000000|-89.6680000000|Y|28|
MT|Montana|47.0527000000|-109.6450000000|Z|30|
NC|North Carolina|35.5579000000|-79.3856000000|a|37|
ND|North Dakota|47.4499000000|-100.4674000000|b|38|
NE|Nebraska|41.5392000000|-99.7968000000|c|31|
NH|New Hampshire|43.6805000000|-71.5818000000|d|33|
NJ|New Jersey|40.1907000000|-74.6733000000|e|34|
NM|New Mexico|34.4066000000|-106.1128000000|f|35|
NV|Nevada|39.3306000000|-116.6268000000|g|32|
NY|New York|42.9543000000|-75.5262000000|h|36|
OH|Ohio|40.2863000000|-82.7938000000|i|39|
OK|Oklahoma|35.5910000000|-97.4943000000|j|40|
OR|Oregon|43.9336000000|-120.5617000000|k|41|
PA|Pennsylvania|40.8786000000|-77.7985000000|l|42|
PR|Puerto Rico|18.2187790000|-66.4434600000|3|72|
RI|Rhode Island|41.6762000000|-71.5562000000|m|44|
SC|South Carolina|33.9169000000|-80.8957000000|n|45|
SD|South Dakota|44.4446000000|-100.2282000000|o|46|
TN|Tennessee|35.8605000000|-86.3504000000|p|47|
TX|Texas|31.4789000000|-99.3287000000|q|48|
UT|Utah|39.3057000000|-111.6685000000|r|49|
VA|Virginia|37.5229000000|-78.8531000000|s|51|
VT|Vermont|44.0688000000|-72.6663000000|t|50|
WA|Washington|47.3822000000|-120.4505000000|u|53|
WI|Wisconsin|44.6243000000|-89.9941000000|v|55|
WV|West Virginia|38.6409000000|-80.6230000000|w|54|
WY|Wyoming|42.9959000000|-107.5527000000|x|56|
